Índices,Unidade Judiciária,Ano,Resultado
1,1ª VT de Fortaleza,2023,"107,74%"
2,2ª VT de Fortaleza,2023,"107,36%"
3,3ª VT de Fortaleza,2023,"104,06%"
4,4ª VT de Fortaleza,2023,"104,14%"
5,5ª VT de Fortaleza,2023,"104,12%"
6,6ª VT de Fortaleza,2023,"103,22%"
7,7ª VT de Fortaleza,2023,"106,39%"
8,8ª VT de Fortaleza,2023,"106,97%"
9,9ª VT de Fortaleza,2023,"101,94%"
10,10ª VT de Fortaleza,2023,"104,83%"
11,11ª VT de Fortaleza,2023,"105,88%"
12,12ª VT de Fortaleza,2023,"107,03%"
13,13ª VT de Fortaleza,2023,"105,92%"
14,14ª VT de Fortaleza,2023,"107,53%"
15,15ª VT de Fortaleza,2023,"107,31%"
16,16ª VT de Fortaleza,2023,"107,29%"
17,17ª VT de Fortaleza,2023,"104,99%"
18,18ª VT de Fortaleza,2023,"106,81%"
19,1ª VT de Aracati,2023,"107,53%"
20,1ª VT de Baturité,2023,"110,15%"
21,1ª VT de Caucaia,2023,"106,96%"
22,1ª VT de Crateus,2023,"107,83%"
23,1ª VT de Eusébio,2023,"107,75%"
24,1ª VT de Iguatu,2023,"107,08%"
25,1ª VT da Região do Cariri,2023,"107,34%"
26,1ª VT de Limoeiro do Norte,2023,"107,53%"
27,1ª VT de Maracanau,2023,"107,69%"
28,1ª VT de Pacajus,2023,"106,64%"
29,1ª VT de Quixadá,2023,"102,75%"
30,1ª VT de São Gonçalo do Amarante,2023,"106,36%"
31,1ª VT de Sobral,2023,"108,04%"
32,1ª VT de Tianguá,2023,"107,24%"
33,2ª VT de Caucaia,2023,"107,13%"
34,2ª VT da Região do Cariri,2023,"106,90%"
35,2ª VT de Maracanau,2023,"107,53%"
36,2ª VT de Sobral,2023,"108,46%"
37,3ª VT da Região do Cariri,2023,"107,27%"
38,Total do 1º Grau,2023,"106,11%"
39,Total da 7ª Região,2023,"105,99%"
1,1ª VT de Fortaleza,2024,"107,53%"
2,2ª VT de Fortaleza,2024,"106,11%"
3,3ª VT de Fortaleza,2024,"107,16%"
4,4ª VT de Fortaleza,2024,"104,54%"
5,5ª VT de Fortaleza,2024,"107,25%"
6,6ª VT de Fortaleza,2024,"107,53%"
7,7ª VT de Fortaleza,2024,"105,44%"
8,8ª VT de Fortaleza,2024,"107,30%"
9,9ª VT de Fortaleza,2024,"104,30%"
10,10ª VT de Fortaleza,2024,"107,53%"
11,11ª VT de Fortaleza,2024,"107,53%"
12,12ª VT de Fortaleza,2024,"106,81%"
13,13ª VT de Fortaleza,2024,"107,32%"
14,14ª VT de Fortaleza,2024,"107,53%"
15,15ª VT de Fortaleza,2024,"106,97%"
16,16ª VT de Fortaleza,2024,"107,53%"
17,17ª VT de Fortaleza,2024,"103,70%"
18,18ª VT de Fortaleza,2024,"107,53%"
19,1ª VT de Aracati,2024,"107,53%"
20,1ª VT de Baturité,2024,"107,53%"
21,1ª VT de Caucaia,2024,"107,18%"
22,1ª VT de Crateus,2024,"107,53%"
23,1ª VT de Eusébio,2024,"107,53%"
24,1ª VT de Iguatu,2024,"107,53%"
25,1ª VT da Região do Cariri,2024,"107,15%"
26,1ª VT de Limoeiro do Norte,2024,"107,53%"
27,1ª VT de Maracanau,2024,"107,16%"
28,1ª VT de Pacajus,2024,"107,11%"
29,1ª VT de Quixadá,2024,"105,04%"
30,1ª VT de São Gonçalo do Amarante,2024,"107,53%"
31,1ª VT de Sobral,2024,"107,53%"
32,1ª VT de Tianguá,2024,"107,31%"
33,2ª VT de Caucaia,2024,"107,53%"
34,2ª VT da Região do Cariri,2024,"107,26%"
35,2ª VT de Maracanau,2024,"107,53%"
36,2ª VT de Sobral,2024,"107,53%"
37,3ª VT da Região do Cariri,2024,"107,53%"
38,Total do 1º Grau,2024,"106,75%"
39,Total da 7ª Região,2024,"106,95%"
